occupation,entry_level_education,annual_wage_2021,judgment_and_decision.l,active_learning.l,complex_problem_solving.l,critical_thinking.l,equipment_selection.l,troubleshooting.l,repairing.l,equipment_maintenance.l,glare_sensitivity.l,peripheral_vision.l,sound_localization.l,arm_hand_steadiness.l,finger_dexterity.l,control_precision.l,inductive_reasoning.l,deductive_reasoning.l,information_ordering.l,therapy_and_counseling.l,medicine_and_dentistry.l,psychology.l,biology.l,physics.l,engineering_and_technology.l,mechanical.l,building_and_construction.l,administration_and_management.l,economics_and_accounting.l,personnel_and_human_resources.l,administrative.l,history_and_archeology.l,fine_arts.l,philosophy_and_theology.l,sociology_and_anthropology.l
Lodging Managers,High school diploma or equivalent,59430,0.54,0.55,0.46,0.55,0.11,0.21,0.11,0.11,0.11,0.13,0.11,0.32,0.27,0.29,0.46,0.55,0.45,0.29,0.18,0.53,0,0,0.31,0.23,0,0.67,0.49,0.7,0.71,0,0,0.36,0.38
Log Graders and Scalers,High school diploma or equivalent,37820,0.43,0.39,0.39,0.43,0.14,0.2,0.11,0.14,0.2,0.14,0.13,0.39,0.39,0.45,0.43,0.43,0.43,0.1,0.07,0.19,0.17,0.14,0.22,0.39,0.18,0.39,0.21,0.26,0.3,0,0,0,0
Logging Equipment Operators,High school diploma or equivalent,46400,0.36,0.3,0.3,0.39,0.29,0.43,0.43,0.43,0.34,0.39,0.3,0.45,0.36,0.57,0.34,0.39,0.43,0,0,0.14,0,0.25,0.25,0.66,0,0.3,0,0.11,0,0,0,0,0
Logisticians,Bachelor's degree,77030,0.57,0.5,0.55,0.59,0,0,0,0,0,0,0,0,0.27,0,0.57,0.66,0.55,0.18,0,0.33,0.17,0.17,0.39,0.29,0.2,0.73,0.54,0.57,0.63,0.17,0,0.18,0.27
Logistics Analysts,Bachelor's degree,77030,0.57,0.54,0.57,0.59,0,0.07,0,0,0,0,0,0.09,0.23,0.11,0.57,0.57,0.57,0.12,0,0.25,0.1,0.18,0.4,0.25,0.14,0.59,0.38,0.38,0.62,0.14,0,0.18,0.23
Logistics Engineers,Bachelor's degree,77030,0.57,0.55,0.57,0.61,0,0.3,0.11,0.11,0,0,0,0,0.27,0,0.59,0.61,0.57,0,0,0.22,0,0.2,0.72,0.58,0.19,0.59,0.43,0.41,0.47,0,0,0,0.19
Loss Prevention Managers,Bachelor's degree,124650,0.57,0.54,0.55,0.57,0,0.18,0,0,0,0,0,0.16,0.27,0.21,0.55,0.55,0.45,0.31,0.17,0.62,0.1,0.21,0.36,0.31,0.4,0.67,0.4,0.6,0.57,0,0,0.19,0.4
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Master's degree,85570,0.48,0.55,0.5,0.55,0,0.09,0,0,0.14,0.07,0.07,0.27,0.18,0.27,0.55,0.55,0.55,0.58,0.29,0.63,0.12,0,0.17,0.12,0,0.35,0.09,0.17,0.43,0.13,0,0.42,0.52
Machine Feeders and Offbearers,No formal educational credential,37010,0.32,0.29,0.3,0.37,0.13,0.29,0.18,0.18,0.05,0.05,0.05,0.46,0.41,0.54,0.39,0.39,0.41,0,0,0.16,0,0.16,0.27,0.45,0.12,0.34,0.18,0.22,0.32,0,0,0,0.12
Machinists,High school diploma or equivalent,47730,0.39,0.41,0.43,0.45,0.37,0.41,0.39,0.41,0.11,0.14,0.14,0.48,0.52,0.54,0.43,0.46,0.43,0,0,0,0,0.26,0.43,0.56,0.18,0.27,0,0.16,0.21,0,0,0,0
Magnetic Resonance Imaging Technologists,Associate's degree,77360,0.43,0.43,0.45,0.52,0.3,0.37,0.13,0,0,0,0,0.45,0.43,0.45,0.52,0.52,0.52,0.36,0.52,0.61,0.52,0.52,0.43,0.38,0.14,0.41,0,0.38,0.46,0.13,0,0.26,0.34
Maids and Housekeeping Cleaners,No formal educational credential,28780,0.3,0.23,0.3,0.3,0,0.13,0,0,0,0,0,0.3,0.3,0.27,0.3,0.3,0.3,0.11,0.13,0.15,0,0,0,0.12,0,0.31,0.13,0.11,0.13,0,0,0.16,0.1
"Mail Clerks and Mail Machine Operators, Except Postal Service",High school diploma or equivalent,32550,0.37,0.3,0.27,0.41,0.13,0.2,0.13,0.14,0,0.11,0,0.39,0.45,0.34,0.39,0.39,0.41,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0
"Maintenance and Repair Workers, General",High school diploma or equivalent,43180,0.41,0.45,0.43,0.45,0.43,0.54,0.55,0.55,0.27,0.18,0.2,0.46,0.48,0.46,0.46,0.46,0.54,0,0,0.17,0,0.24,0.36,0.62,0.63,0.27,0.14,0.17,0.21,0,0,0,0
"Maintenance Workers, Machinery",High school diploma or equivalent,48900,0.34,0.3,0.41,0.43,0.39,0.46,0.54,0.55,0.2,0.16,0.27,0.46,0.45,0.46,0.43,0.43,0.43,0.15,0.17,0.3,0.16,0.42,0.53,0.76,0.47,0.4,0.16,0.24,0.27,0,0,0.14,0.17
"Makeup Artists, Theatrical and Performance",Postsecondary nondegree award,134750,0.43,0.46,0.39,0.46,0.09,0.09,0,0,0.21,0,0,0.55,0.48,0.3,0.43,0.46,0.46,0.15,0.19,0.38,0.2,0.06,0.14,0.2,0,0.48,0.21,0.29,0.3,0.2,0.5,0.17,0.29
Management Analysts,Bachelor's degree,93000,0.59,0.54,0.57,0.59,0,0,0,0,0,0,0,0,0.16,0,0.59,0.61,0.57,0.37,0,0.63,0.14,0,0.42,0.18,0,0.75,0.54,0.73,0.59,0.25,0,0.36,0.65
Manicurists and Pedicurists,Postsecondary nondegree award,29210,0.3,0.32,0.29,0.36,0.09,0.05,0,0,0,0,0,0.45,0.43,0.32,0.32,0.34,0.3,0.18,0.2,0.34,0.26,0,0.13,0.21,0,0.33,0,0.35,0,0,0,0,0.32
Manufactured Building and Mobile Home Installers,High school diploma or equivalent,36360,0.43,0.43,0.46,0.46,0.37,0.46,0.48,0.37,0.34,0.32,0.27,0.48,0.5,0.52,0.46,0.52,0.5,0.32,0.29,0.38,0,0.43,0.59,0.64,0.74,0.46,0,0.42,0,0,0,0,0
Manufacturing Engineers,Bachelor's degree,95300,0.66,0.64,0.61,0.57,0.52,0.52,0.43,0.45,0,0,0,0.36,0.34,0.36,0.63,0.7,0.59,0.23,0,0.4,0.23,0.62,0.76,0.74,0.43,0.62,0.37,0.47,0.53,0,0,0.18,0.17
Marine Engineers and Naval Architects,Bachelor's degree,93370,0.62,0.63,0.6,0.63,0,0.47,0,0,0.21,0,0,0.32,0.33,0.24,0.63,0.71,0.65,0,0,0.28,0.22,0.78,0.87,0.69,0.56,0.59,0.4,0.46,0.46,0,0,0,0
Market Research Analysts and Marketing Specialists,Bachelor's degree,63920,0.59,0.57,0.54,0.57,0,0,0,0,0,0,0,0,0.25,0,0.61,0.63,0.55,0,0,0.53,0,0,0.25,0,0,0.66,0.5,0.46,0.63,0.26,0,0.33,0.61
Marketing Managers,Bachelor's degree,135030,0.57,0.59,0.55,0.61,0,0,0,0,0,0,0,0,0.18,0,0.55,0.63,0.5,0.16,0,0.41,0,0,0.35,0,0,0.66,0.51,0.51,0.59,0.16,0.19,0.16,0.35
Marriage and Family Therapists,Master's degree,49880,0.61,0.61,0.59,0.61,0,0,0,0,0,0,0,0,0.14,0,0.63,0.59,0.54,0.97,0.33,0.91,0.17,0,0,0,0,0.28,0,0.13,0.58,0.22,0.13,0.58,0.61
Massage Therapists,Postsecondary nondegree award,46910,0.41,0.43,0.39,0.46,0,0.05,0,0,0,0,0,0.45,0.46,0.27,0.43,0.45,0.43,0.36,0.39,0.55,0.41,0.16,0.12,0.1,0,0.4,0.35,0.28,0.46,0,0,0.31,0.33
Materials Engineers,Bachelor's degree,98300,0.55,0.64,0.57,0.61,0.27,0.29,0.14,0.13,0,0,0,0.3,0.32,0.34,0.61,0.68,0.55,0,0.2,0.22,0.29,0.78,0.78,0.63,0.35,0.59,0.36,0.46,0.47,0.12,0,0.17,0
Materials Scientists,Bachelor's degree,100090,0.55,0.57,0.59,0.59,0.13,0.27,0.16,0.13,0,0,0,0.3,0.3,0.3,0.64,0.64,0.59,0,0.12,0.16,0.27,0.82,0.85,0.46,0.24,0.51,0.24,0.35,0.35,0,0,0,0
"Mathematical Science Teachers, Postsecondary",Doctoral or professional degree,77580,0.48,0.59,0.52,0.59,0,0,0,0,0,0,0,0,0.09,0,0.59,0.59,0.5,0.2,0.13,0.37,0.19,0.39,0.21,0,0,0.36,0,0.41,0.37,0.12,0,0.25,0.21
Mathematicians,Master's degree,108100,0.61,0.75,0.7,0.73,0,0,0,0,0,0,0,0,0.25,0,0.71,0.75,0.68,0,0.1,0.17,0.33,0.55,0.52,0.13,0,0.39,0.24,0.22,0.17,0.11,0,0,0.14
"Meat, Poultry, and Fish Cutters and Trimmers",No formal educational credential,29730,0.3,0.32,0.3,0.41,0.2,0.29,0.18,0.18,0.09,0.11,0.11,0.46,0.41,0.43,0.32,0.39,0.39,0.29,0.49,0.28,0.44,0,0.38,0.59,0.42,0.5,0.41,0.49,0.46,0,0,0,0
Mechanical Door Repairs,High school diploma or equivalent,45060,0.37,0.32,0.41,0.43,0.36,0.43,0.39,0.41,0.29,0.2,0.29,0.45,0.45,0.45,0.43,0.43,0.41,0,0,0.1,0,0.34,0.51,0.67,0.63,0.33,0.08,0.19,0,0,0,0,0
Mechanical Drafters,Associate's degree,60200,0.43,0.52,0.45,0.46,0,0.27,0,0,0,0,0,0.34,0.46,0.39,0.5,0.52,0.54,0,0,0.12,0,0.67,0.8,0.73,0.36,0.44,0.13,0.24,0.54,0,0,0,0
Mechanical Engineering Technologists and Technicians,Associate's degree,60460,0.46,0.46,0.46,0.54,0.36,0.45,0.39,0.37,0.18,0.14,0.16,0.43,0.43,0.46,0.54,0.59,0.55,0,0.1,0.16,0,0.58,0.73,0.73,0.31,0.46,0.25,0.19,0.48,0.1,0,0,0
Mechanical Engineers,Bachelor's degree,95300,0.59,0.63,0.68,0.61,0.37,0.52,0.25,0.23,0,0,0,0.25,0.32,0,0.59,0.7,0.63,0,0.23,0,0.2,0.73,0.87,0.78,0.36,0.57,0.25,0.35,0.51,0,0,0,0
Mechatronics Engineers,Bachelor's degree,100640,0.57,0.55,0.59,0.59,0,0,0,0,0,0,0,0.29,0.32,0.29,0.63,0.64,0.52,0,0,0.32,0,0.67,0.88,0.75,0.33,0.52,0.3,0.39,0.4,0,0,0,0
Media Programming Directors,Bachelor's degree,79000,0.55,0.55,0.54,0.57,0,0.07,0,0,0,0,0,0.29,0.32,0.3,0.57,0.57,0.55,0.16,0,0.36,0,0,0.33,0.17,0,0.6,0.34,0.61,0.69,0.25,0.27,0.3,0.23
Media Technical Directors/Managers,Bachelor's degree,79000,0.52,0.52,0.52,0.57,0.39,0.29,0.21,0.29,0,0,0.11,0.34,0.36,0.37,0.54,0.57,0.52,0,0,0.23,0,0.09,0.52,0.18,0,0.55,0.07,0.24,0.4,0.17,0,0,0.24
Medical and Clinical Laboratory Technicians,Postsecondary nondegree award,57800,0.43,0.45,0.43,0.48,0.32,0.39,0.29,0.37,0,0,0,0.43,0.45,0.43,0.45,0.43,0.52,0.15,0.47,0.32,0.62,0.28,0.26,0.36,0,0.28,0.11,0.18,0.55,0,0,0.12,0.21
Medical and Clinical Laboratory Technologists,Bachelor's degree,57800,0.5,0.55,0.48,0.57,0.45,0.41,0.32,0.43,0,0,0,0.52,0.54,0.46,0.57,0.57,0.57,0.15,0.49,0.32,0.62,0.18,0.28,0.51,0,0.33,0.1,0.32,0.5,0,0,0.2,0.25
Medical and Health Services Managers,Bachelor's degree,101340,0.57,0.57,0.48,0.57,0,0,0,0,0,0,0,0.13,0.2,0.11,0.57,0.57,0.55,0.25,0.46,0.39,0.36,0,0.19,0.13,0,0.7,0.48,0.64,0.74,0,0,0.16,0.27
Medical Appliance Technicians,High school diploma or equivalent,45280,0.45,0.43,0.43,0.5,0.37,0.45,0.43,0.43,0,0,0,0.5,0.52,0.52,0.45,0.52,0.45,0.34,0.4,0.3,0.29,0.5,0.47,0.55,0.45,0.46,0.22,0.34,0.45,0,0.19,0.16,0.16
Medical Assistants,Postsecondary nondegree award,37190,0.43,0.48,0.41,0.52,0.14,0.2,0.11,0.07,0,0.05,0,0.43,0.43,0.32,0.46,0.5,0.45,0.44,0.54,0.48,0.34,0,0,0,0,0.39,0.29,0.32,0.65,0,0,0,0.23
Medical Equipment Preparers,High school diploma or equivalent,38220,0.39,0.43,0.36,0.41,0.29,0.37,0.34,0.37,0.11,0.11,0.18,0.45,0.46,0.43,0.37,0.45,0.43,0.13,0.36,0.23,0.53,0.17,0.25,0.39,0,0.29,0,0.21,0.43,0,0,0,0
Medical Equipment Repairers,Associate's degree,49910,0.45,0.46,0.45,0.52,0.45,0.57,0.57,0.57,0.18,0.09,0.14,0.43,0.57,0.46,0.48,0.5,0.55,0,0.22,0.26,0.34,0.44,0.57,0.74,0.36,0.51,0.22,0.28,0.43,0,0,0.18,0.19
"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,95310,0.61,0.71,0.66,0.68,0.11,0.11,0,0,0,0,0,0.34,0.41,0.32,0.75,0.7,0.61,0.21,0.62,0.26,0.91,0.34,0.25,0.1,0,0.48,0.19,0.26,0.37,0,0,0,0.21
Medical Secretaries and Administrative Assistants,High school diploma or equivalent,37450,0.32,0.32,0.39,0.43,0,0,0,0,0,0,0,0.23,0.39,0.18,0.43,0.43,0.41,0.22,0.46,0.28,0,0,0,0,0,0.47,0.44,0.44,0.64,0,0,0,0
Medical Transcriptionists,Postsecondary nondegree award,30100,0.37,0.41,0.36,0.45,0,0,0,0,0,0,0,0.3,0.45,0.3,0.43,0.43,0.43,0.11,0.37,0.18,0.14,0,0,0,0,0.28,0,0.16,0.75,0,0,0,0
"Meeting, Convention, and Event Planners",Bachelor's degree,49470,0.48,0.45,0.5,0.55,0.13,0.11,0.11,0.09,0.14,0,0,0.32,0.29,0.25,0.48,0.55,0.5,0.14,0.19,0.46,0.12,0.17,0.21,0.18,0.18,0.47,0.39,0.4,0.59,0.26,0.31,0.37,0.28
Mental Health and Substance Abuse Social Workers,Master's degree,49130,0.55,0.55,0.57,0.57,0,0,0,0,0,0,0,0,0.16,0,0.61,0.63,0.57,0.94,0.37,0.89,0.17,0,0,0,0,0.41,0,0.32,0.5,0.13,0,0.47,0.52
Mental Health Counselors,Master's degree,48520,0.57,0.59,0.54,0.64,0,0,0,0,0,0,0,0,0.21,0,0.71,0.68,0.55,0.9,0.33,0.91,0.14,0,0,0,0,0.41,0.19,0.4,0.53,0,0,0.54,0.51
Merchandise Displayers and Window Trimmers,High school diploma or equivalent,32060,0.43,0.43,0.41,0.48,0.07,0.11,0,0,0,0,0,0.46,0.46,0.36,0.43,0.45,0.46,0.09,0,0.24,0,0,0.14,0.24,0.22,0.46,0.14,0.25,0.3,0.08,0.23,0.15,0.18
Metal-Refining Furnace Operators and Tenders,High school diploma or equivalent,46690,0.39,0.3,0.41,0.43,0.29,0.39,0.32,0.41,0.41,0.27,0.29,0.45,0.43,0.57,0.41,0.41,0.43,0,0,0.21,0,0.38,0.41,0.56,0,0.53,0,0.23,0.31,0,0,0.1,0
"Meter Readers, Utilities",High school diploma or equivalent,45720,0.36,0.3,0.37,0.39,0.16,0.27,0.14,0.16,0.32,0.27,0.27,0.36,0.34,0.41,0.39,0.39,0.41,0,0.08,0.1,0.18,0.28,0.29,0.38,0.3,0.37,0.16,0.2,0.37,0,0,0,0
Microbiologists,Bachelor's degree,79260,0.59,0.64,0.57,0.64,0.16,0.27,0,0,0,0,0,0.52,0.52,0.43,0.75,0.71,0.61,0,0.38,0.2,0.85,0.37,0.38,0.44,0,0.54,0.21,0.4,0.53,0.17,0,0,0
Microsystems Engineers,Bachelor's degree,100640,0.54,0.55,0.61,0.59,0.34,0.34,0.25,0.23,0,0,0,0.43,0.41,0.37,0.63,0.64,0.59,0,0.14,0,0.31,0.77,0.88,0.62,0,0.58,0.33,0.43,0.39,0,0,0,0
"Middle School Teachers, Except Special and Career/Technical Education",Bachelor's degree,61320,0.46,0.55,0.45,0.52,0,0.05,0,0,0,0,0,0,0.21,0,0.54,0.54,0.54,0.52,0.21,0.59,0.34,0.33,0.33,0.25,0.14,0.46,0.22,0.38,0.53,0.49,0.36,0.48,0.49
Midwives,Doctoral or professional degree,58750,0.57,0.52,0.46,0.57,0.09,0.14,0,0,0,0,0,0.52,0.43,0.27,0.63,0.66,0.54,0.71,0.78,0.74,0.55,0.11,0.09,0.12,0,0.44,0.16,0.48,0.59,0.1,0,0.43,0.62
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,46850,0.34,0.36,0.36,0.41,0.27,0.39,0.3,0.32,0,0.11,0.13,0.5,0.46,0.5,0.41,0.43,0.43,0,0.09,0,0,0.16,0.29,0.57,0,0.21,0,0.19,0.24,0,0,0,0
Millwrights,High school diploma or equivalent,60330,0.43,0.45,0.43,0.45,0.36,0.55,0.55,0.55,0.36,0.27,0.29,0.46,0.57,0.59,0.45,0.45,0.55,0.18,0.17,0.37,0.16,0.53,0.55,0.92,0.67,0.5,0.16,0.41,0.3,0.1,0,0.11,0.11
"Mining and Geological Engineers, Including Mining Safety Engineers",Bachelor's degree,97090,0.66,0.59,0.63,0.64,0.36,0.27,0,0,0.09,0,0,0,0.2,0.05,0.66,0.7,0.59,0,0,0.22,0.26,0.59,0.81,0.38,0.46,0.59,0.4,0.37,0.6,0.13,0,0,0
"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,38420,0.39,0.41,0.39,0.41,0.3,0.41,0.39,0.45,0.14,0.2,0.27,0.45,0.45,0.46,0.43,0.43,0.45,0.15,0,0,0,0.3,0.29,0.48,0.23,0.32,0.12,0.23,0.46,0,0,0,0
"Mobile Heavy Equipment Mechanics, Except Engines",High school diploma or equivalent,58030,0.45,0.43,0.46,0.48,0.46,0.57,0.57,0.55,0.32,0.29,0.3,0.46,0.54,0.57,0.52,0.52,0.55,0,0,0.15,0,0.43,0.44,0.89,0.39,0.2,0.04,0.11,0.28,0,0,0,0
"Model Makers, Metal and Plastic",High school diploma or equivalent,55630,0.41,0.41,0.39,0.43,0.43,0.45,0.37,0.37,0,0.07,0.09,0.46,0.46,0.52,0.41,0.45,0.46,0,0,0,0,0.31,0.54,0.58,0.19,0.26,0,0,0.12,0,0,0,0
"Model Makers, Wood",High school diploma or equivalent,60780,0.37,0.37,0.43,0.45,0,0.21,0,0,0.14,0.14,0.13,0.52,0.52,0.48,0.43,0.45,0.46,0,0.05,0.17,0,0.18,0.65,0.57,0.59,0.37,0,0.12,0.3,0,0,0,0
Models,No formal educational credential,32730,0.27,0.23,0.25,0.27,0,0,0,0,0.09,0,0,0.23,0.05,0,0.29,0.29,0.29,0,0,0,0,0,0,0,0,0.19,0,0,0.11,0,0.28,0,0
"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,37500,0.37,0.36,0.41,0.41,0.32,0.39,0.39,0.34,0.29,0.25,0.21,0.46,0.46,0.45,0.36,0.37,0.43,0,0.06,0,0,0.24,0.36,0.43,0.19,0.37,0.2,0.23,0.32,0,0,0,0
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,36370,0.32,0.32,0.32,0.37,0.29,0.39,0.37,0.39,0.29,0.09,0.14,0.45,0.45,0.45,0.37,0.41,0.45,0,0,0.26,0,0.35,0.36,0.55,0,0.34,0,0.13,0.14,0,0,0,0
Molecular and Cellular Biologists,Bachelor's degree,82530,0.66,0.66,0.59,0.7,0.21,0.21,0,0,0,0,0,0.39,0.41,0.36,0.77,0.71,0.64,0.21,0.46,0.31,0.96,0.45,0.37,0.35,0,0.53,0.27,0.47,0.47,0.13,0,0.2,0.23
"Morticians, Undertakers, and Funeral Arrangers",Associate's degree,48950,0.46,0.46,0.46,0.55,0,0.18,0,0,0.2,0.18,0.18,0.43,0.36,0.41,0.45,0.54,0.45,0.53,0.36,0.6,0.4,0.1,0,0.23,0.15,0.6,0.5,0.55,0.69,0.22,0,0.54,0.44
Motion Picture Projectionists,No formal educational credential,29350,0.32,0.3,0.32,0.39,0.29,0.39,0.32,0.37,0.2,0.09,0.14,0.41,0.41,0.43,0.41,0.39,0.43,0,0.08,0.23,0,0.1,0.35,0.46,0.14,0.38,0.13,0.23,0.37,0,0.12,0.13,0
Motorboat Mechanics and Service Technicians,High school diploma or equivalent,46730,0.39,0.32,0.41,0.45,0.37,0.54,0.57,0.5,0.29,0.2,0.27,0.43,0.5,0.54,0.5,0.46,0.48,0,0,0.25,0.17,0.49,0.54,0.89,0.4,0.44,0.21,0.24,0.39,0,0,0,0.14
Motorboat Operators,Postsecondary nondegree award,38670,0.45,0.39,0.43,0.48,0.36,0.37,0.39,0.39,0.54,0.41,0.34,0.45,0.46,0.59,0.39,0.43,0.45,0,0.34,0.36,0.45,0.32,0,0.62,0,0.36,0,0.37,0,0.35,0,0,0.26
Motorcycle Mechanics,Postsecondary nondegree award,38170,0.43,0.45,0.43,0.45,0.32,0.55,0.54,0.48,0.13,0.05,0.32,0.52,0.55,0.55,0.43,0.46,0.43,0,0,0,0,0.4,0.29,0.91,0,0.3,0,0.27,0.22,0,0,0,0.08
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,37630,0.43,0.41,0.43,0.45,0.34,0.43,0.43,0.45,0.18,0.18,0.16,0.46,0.45,0.57,0.43,0.43,0.45,0,0,0.35,0,0.29,0.41,0.61,0,0.36,0.09,0.25,0.22,0,0,0,0
Museum Technicians and Conservators,Bachelor's degree,47630,0.45,0.45,0.43,0.48,0.14,0.14,0.13,0.05,0,0,0,0.48,0.5,0.41,0.5,0.52,0.52,0,0,0.21,0.22,0.28,0.36,0.42,0.25,0.54,0.17,0.31,0.5,0.58,0.6,0.32,0.37
Music Directors and Composers,Bachelor's degree,49130,0.47,0.44,0.46,0.51,0,0,0,0,0,0,0.31,0.26,0.35,0.18,0.46,0.48,0.52,0.23,0,0.41,0,0,0.22,0,0,0.51,0.28,0.37,0.55,0.33,0.9,0.51,0.35
Music Therapists,Bachelor's degree,59500,0.54,0.54,0.48,0.57,0.11,0.16,0,0,0,0,0.16,0.43,0.41,0.37,0.57,0.57,0.54,0.91,0.39,0.92,0.25,0,0.18,0,0,0.41,0.18,0.37,0.51,0.21,0.84,0.5,0.68
Musical Instrument Repairers and Tuners,High school diploma or equivalent,37160,0.43,0.43,0.41,0.46,0.37,0.45,0.45,0.41,0,0,0.13,0.57,0.61,0.55,0.45,0.43,0.46,0.09,0.08,0.21,0,0.36,0.44,0.61,0.18,0.44,0.3,0.22,0.51,0.17,0.54,0,0.1
Musicians and Singers,No formal educational credential,63419,0.4,0.41,0.35,0.44,0,0,0,0,0,0,0.14,0.34,0.32,0.24,0.42,0.43,0.46,0.25,0,0.36,0,0.16,0,0,0,0.29,0.18,0.29,0.3,0.37,0.85,0.41,0.33
Nannies,High school diploma or equivalent,27490,0.43,0.43,0.43,0.46,0,0,0,0,0.13,0.29,0.16,0.37,0.32,0.34,0.45,0.46,0.43,0.28,0.32,0.43,0.16,0.08,0,0,0,0.25,0.08,0.18,0.21,0.23,0.16,0.31,0.27
Nanosystems Engineers,Bachelor's degree,100640,0.55,0.71,0.61,0.64,0,0.37,0.32,0.32,0,0,0,0.46,0.46,0,0.7,0.73,0.61,0.09,0.3,0.25,0.57,0.8,0.86,0.58,0.22,0.55,0.29,0.38,0.36,0.07,0,0,0.17
Nanotechnology Engineering Technologists and Technicians,Associate's degree,60220,0.47,0.47,0.49,0.52,0.37,0.38,0.33,0.35,0,0,0,0.45,0.49,0.5,0.52,0.55,0.51,0,0.15,0,0.35,0.66,0.71,0.62,0,0.36,0.17,0.2,0.35,0,0,0,0
Natural Sciences Managers,Bachelor's degree,137900,0.59,0.68,0.61,0.63,0,0.16,0,0,0.05,0.09,0.09,0.16,0.25,0.14,0.7,0.71,0.57,0,0.16,0.26,0.72,0.33,0.48,0.36,0.22,0.6,0.3,0.54,0.7,0,0,0,0.16
Naturopathic Physicians,Doctoral or professional degree,100300,0.61,0.55,0.57,0.59,0,0.07,0,0,0,0,0,0.27,0.36,0.07,0.73,0.71,0.57,0.8,0.82,0.83,0.76,0.34,0.15,0.21,0,0.62,0.49,0.52,0.66,0.26,0,0.53,0.58
Network and Computer Systems Administrators,Bachelor's degree,80600,0.55,0.54,0.57,0.55,0.46,0.57,0.45,0.5,0,0,0,0.36,0.39,0.3,0.57,0.57,0.57,0,0,0.17,0,0.19,0.65,0.36,0.2,0.52,0.24,0.31,0.51,0,0,0.11,0.12
Neurodiagnostic Technologists,Postsecondary nondegree award,45720,0.43,0.48,0.43,0.55,0.18,0.37,0.34,0.29,0,0,0,0.41,0.46,0.39,0.55,0.55,0.54,0.39,0.63,0.63,0.55,0.29,0.34,0.29,0,0.51,0.28,0.51,0.64,0,0,0.27,0.28
Neurologists,Doctoral or professional degree,208000,0.64,0.66,0.66,0.7,0.09,0.2,0,0,0,0,0,0,0.36,0,0.79,0.71,0.61,0.78,0.92,0.82,0.73,0.28,0.26,0,0,0.55,0.3,0.52,0.5,0,0,0.49,0.44
New Accounts Clerks,High school diploma or equivalent,37840,0.43,0.37,0.37,0.5,0,0,0,0,0,0,0,0.14,0.27,0.16,0.43,0.45,0.43,0,0,0.23,0,0,0,0,0,0.42,0.45,0.23,0.66,0,0,0,0
"News Analysts, Reporters, and Journalists",Bachelor's degree,48370,0.47,0.54,0.46,0.58,0,0,0,0,0,0,0,0.17,0.27,0.23,0.56,0.56,0.51,0,0.23,0.43,0.19,0,0.2,0.17,0,0.46,0.27,0.29,0.45,0.5,0.21,0.45,0.47
Non-Destructive Testing Specialists,High school diploma or equivalent,61950,0.48,0.5,0.45,0.5,0.37,0.41,0.3,0.39,0.3,0.25,0.27,0.43,0.41,0.45,0.57,0.54,0.52,0,0,0.14,0.11,0.5,0.51,0.42,0.36,0.5,0.23,0.35,0.47,0,0,0,0
Nuclear Engineers,Bachelor's degree,120380,0.55,0.59,0.63,0.68,0.14,0.41,0.14,0.14,0,0,0,0.27,0,0.14,0.61,0.63,0.59,0,0.15,0.25,0.4,0.83,0.93,0.62,0.52,0.56,0.32,0.36,0.45,0.14,0,0,0
Nuclear Medicine Technologists,Associate's degree,78760,0.41,0.45,0.43,0.52,0.27,0.32,0.29,0.3,0,0,0,0.43,0.41,0.43,0.5,0.5,0.54,0.24,0.55,0.52,0.61,0.55,0.32,0.22,0,0.37,0.15,0.19,0.5,0,0,0.2,0.26
Nuclear Monitoring Technicians,Associate's degree,99340,0.48,0.45,0.45,0.57,0.07,0.39,0.11,0.18,0.16,0,0,0.43,0.43,0.39,0.57,0.57,0.55,0.12,0.14,0.23,0.33,0.52,0.34,0.43,0.23,0.31,0,0.17,0.34,0,0,0,0.11
Nuclear Power Reactor Operators,High school diploma or equivalent,104260,0.48,0.45,0.46,0.57,0,0.45,0.05,0,0.11,0,0,0.41,0.39,0.41,0.55,0.55,0.57,0,0,0.35,0.26,0.68,0.55,0.65,0.26,0.33,0,0.21,0.25,0,0,0,0
Nuclear Technicians,Associate's degree,99340,0.52,0.45,0.43,0.52,0.29,0.5,0.48,0.41,0.27,0.18,0.25,0.41,0.41,0.43,0.57,0.57,0.55,0.14,0.19,0.33,0.32,0.65,0.61,0.67,0.37,0.32,0,0.2,0.41,0.12,0,0,0
Nurse Anesthetists,Master's degree,195610,0.59,0.57,0.61,0.57,0.39,0.36,0.3,0.3,0.16,0,0,0.45,0.43,0.43,0.61,0.59,0.57,0.54,0.89,0.76,0.72,0.65,0.48,0.44,0,0.57,0.32,0.52,0.39,0.15,0,0.36,0.56
