"occupation","active_listening","pure_mathematics","reading_comprehension","natural_science","speaking","writing","active_learning","critical_thinking","learning_strategies","monitoring","complex_problem_solving","management_of_financial_resources","management_of_material_resources","management_of_personal_resources","time_management","coordination","instructing","negotiation","persuasion","service_orientation","social_perceptiveness","judgment_and_decision","systems_analysis","systems_evaluation","installation","quality_control_analysis","technology_design","equipment_selection","equipment_maintenance","programming","troubleshooting","operations_monitoring","repairing","operation_and_control","operations_analysis","multitasking","selective_attention","problem_sensitivity","fluency_of_ideas","originality","deductive_reasoning","inductive_reasoning","category_flexibility","information_ordering","perceptual_speed","flexibility_of_closure","speed_of_closure","number_facility","mathematical_reasoning","spatial_orientation","visualization","written_expression","oral_expression","oral_comprehension","written_comprehension","memorization","dynamic_flexibility","gross_body_equilibrium","extent_flexibility","gross_body_coordination","explosive_strength","static_strength","dynamic_strength","trunk_strength","stamina","response_orientation","control_precision","multilimb_coordination","rate_control","arm_hand_steadiness","finger_dexterity","manual_dexterity","speed_of_limb_movement","wrist_finger_speed","reaction_time","speech_clarity","auditory_attention","speech_recognition","sound_localization","hearing_sensitivity","far_vision","glare_sensitivity","night_vision","depth_perception","visual_color_discrimination","peripheral_vision","near_vision","native_language","history_and_archeology","foreign_language","philosophy_and_theology","fine_arts","administration_and_management","economics_and_accounting","customer_and_personal_service","personnel_and_human_resources","administrative","sales_and_marketing","communications_and_media","telecommunications","building_and_construction","engineering_and_technology","mechanical","industrial_design","computers_and_electronics","education_and_training","therapy_and_counseling","medicine_and_dentistry","public_safety_and_security","law_and_government","food_production","production_and_processing","geography","chemistry","applied_mathematics","physics","sociology_and_anthropology","biology","psychology","transportation"
"Energy Auditors",0.54,0.45,0.55,0.43,0.48,0.54,0.46,0.54,0.43,0.48,0.46,0.3,0.32,0.41,0.46,0.43,0.43,0.41,0.43,0.41,0.43,0.5,0.48,0.52,0.13,0.37,0.21,0.18,0,0.11,0.29,0.37,0,0.32,0.43,0.41,0.43,0.55,0.52,0.45,0.55,0.55,0.5,0.52,0.43,0.45,0.37,0.54,0.55,0.23,0.43,0.57,0.57,0.57,0.55,0.37,0,0.3,0.39,0.27,0.09,0.29,0.23,0.32,0.27,0.25,0.41,0.43,0.27,0.41,0.39,0.37,0.09,0.23,0.27,0.45,0.3,0.46,0.2,0.34,0.45,0.25,0.23,0.32,0.43,0.23,0.54,0.51,0,0,0.14,0,0.45,0.39,0.58,0.31,0.62,0.48,0.18,0.16,0.69,0.56,0.58,0.52,0.54,0.52,0,0,0.4,0.29,0,0.36,0.21,0.36,0.62,0.56,0.19,0.17,0.26,0.15
"Energy Engineers, Except Wind and Solar",0.57,0.59,0.68,0.63,0.57,0.59,0.55,0.59,0.43,0.55,0.57,0.32,0.34,0.43,0.48,0.48,0.43,0.43,0.43,0.43,0.5,0.57,0.57,0.54,0,0.36,0.3,0,0,0.18,0.23,0.39,0,0.27,0.55,0.39,0.45,0.59,0.52,0.52,0.59,0.59,0.54,0.57,0.43,0.45,0.36,0.57,0.57,0,0.52,0.55,0.59,0.68,0.66,0.36,0,0,0,0,0,0,0,0.13,0,0,0.18,0.07,0,0,0.18,0,0,0,0,0.54,0.29,0.55,0,0.3,0.43,0,0,0.25,0.41,0,0.55,0.59,0.14,0.1,0.15,0,0.66,0.55,0.65,0.45,0.49,0.55,0.38,0.23,0.67,0.79,0.64,0.65,0.54,0.52,0,0,0.43,0.51,0,0.21,0.38,0.48,0.7,0.6,0.22,0.27,0.36,0.26
"Engine and Other Machine Assemblers",0.43,0.29,0.45,0.23,0.41,0.32,0.32,0.43,0.29,0.43,0.32,0.09,0.16,0.3,0.32,0.32,0.32,0.29,0.29,0.29,0.3,0.36,0.29,0.29,0.2,0.46,0.14,0.32,0.41,0.11,0.43,0.45,0.41,0.41,0.11,0.39,0.43,0.43,0.29,0.29,0.43,0.43,0.43,0.43,0.43,0.43,0.29,0.29,0.29,0.27,0.55,0.32,0.43,0.45,0.45,0.29,0,0.2,0.45,0.29,0,0.43,0.29,0.41,0.27,0.29,0.46,0.48,0.29,0.45,0.46,0.46,0.29,0.29,0.43,0.43,0.43,0.43,0.16,0.41,0.41,0.29,0.13,0.41,0.41,0.16,0.45,0.38,0,0,0,0,0.42,0,0.55,0.22,0.23,0.24,0.12,0,0.28,0.45,0.68,0.38,0.35,0.47,0,0,0.39,0.24,0,0.54,0,0.25,0.42,0.26,0,0,0.16,0.29
"Engineering Teachers, Postsecondary",0.59,0.64,0.7,0.52,0.7,0.68,0.59,0.59,0.61,0.59,0.48,0.18,0.18,0.39,0.43,0.43,0.66,0.43,0.41,0.41,0.5,0.57,0.48,0.48,0,0.21,0.27,0,0,0.23,0.07,0.27,0,0.09,0.41,0.34,0.45,0.54,0.55,0.55,0.61,0.61,0.59,0.59,0.3,0.43,0.39,0.61,0.61,0,0.48,0.71,0.77,0.73,0.73,0.41,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.09,0.18,0,0,0.07,0,0.68,0.25,0.57,0,0.3,0.45,0,0,0.18,0.36,0,0.55,0.76,0,0,0,0,0.61,0.44,0,0,0.57,0.36,0.48,0.36,0,0.92,0.69,0.77,0.84,0.81,0,0.17,0,0.38,0,0.53,0,0.61,0.84,0.77,0,0,0.34,0.18
"English Language and Literature Teachers, Postsecondary",0.61,0.27,0.71,0.13,0.68,0.7,0.57,0.57,0.71,0.57,0.5,0,0.07,0.43,0.46,0.45,0.63,0.43,0.43,0.45,0.54,0.54,0.43,0.43,0,0,0.07,0,0,0.09,0,0,0,0,0.29,0.32,0.41,0.52,0.55,0.54,0.55,0.55,0.5,0.5,0.27,0.37,0.34,0.27,0.27,0,0.29,0.71,0.71,0.71,0.71,0.43,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.68,0.13,0.55,0,0.14,0.36,0,0,0,0.18,0,0.54,0.92,0.67,0.39,0.8,0.44,0.5,0,0.58,0.43,0.52,0.3,0.72,0.16,0,0,0,0,0.61,0.82,0.38,0,0.26,0.33,0,0,0.46,0,0.32,0,0.66,0.18,0.52,0.16
"Environmental Compliance Inspectors",0.57,0.45,0.68,0.46,0.61,0.59,0.59,0.61,0.46,0.63,0.59,0.11,0.09,0.37,0.43,0.43,0.45,0.43,0.41,0.41,0.48,0.55,0.48,0.54,0,0.48,0.13,0,0,0.16,0.29,0.48,0,0.37,0.36,0.39,0.43,0.7,0.46,0.45,0.68,0.68,0.57,0.57,0.54,0.59,0.43,0.46,0.43,0.27,0.43,0.68,0.7,0.68,0.63,0.43,0,0.13,0.14,0.14,0,0.27,0.18,0.29,0.18,0.23,0.36,0.29,0.21,0.27,0.34,0.25,0.07,0.07,0.25,0.52,0.43,0.54,0.18,0.32,0.54,0.14,0.13,0.36,0.41,0.13,0.55,0.6,0.14,0.19,0.13,0,0.46,0.14,0.59,0.24,0.44,0.12,0.33,0.11,0.37,0.44,0.38,0.31,0.59,0.56,0,0.14,0.56,0.59,0,0.29,0.4,0.49,0.54,0.39,0.14,0.51,0.19,0.24
"Environmental Economists",0.61,0.68,0.68,0.37,0.59,0.63,0.57,0.61,0.54,0.54,0.55,0.46,0.3,0.37,0.43,0.43,0.5,0.39,0.46,0.41,0.45,0.57,0.54,0.54,0,0.18,0.2,0,0,0.25,0,0,0,0,0.3,0.3,0.45,0.59,0.57,0.57,0.57,0.57,0.46,0.45,0.41,0.52,0.37,0.59,0.68,0,0.43,0.68,0.7,0.7,0.7,0.43,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.11,0,0,0,0,0.63,0,0.57,0,0.14,0.41,0,0,0,0.29,0,0.55,0.7,0.31,0,0.29,0,0.41,0.76,0.19,0.31,0.33,0.15,0.46,0.07,0,0.24,0,0.19,0.74,0.62,0,0.12,0.15,0.51,0,0,0.59,0.23,0.89,0.29,0.48,0.48,0.45,0.19
"Environmental Engineering Technologists and Technicians",0.57,0.54,0.57,0.54,0.57,0.55,0.55,0.57,0.43,0.54,0.48,0.3,0.39,0.43,0.45,0.43,0.41,0.39,0.41,0.41,0.43,0.52,0.43,0.43,0,0.48,0.27,0.32,0.29,0.29,0.37,0.45,0.32,0.39,0.43,0.41,0.45,0.59,0.45,0.43,0.55,0.57,0.57,0.57,0.43,0.45,0.41,0.5,0.5,0.27,0.46,0.57,0.57,0.64,0.68,0.41,0,0.25,0.3,0.25,0.07,0.32,0.27,0.3,0.27,0.29,0.43,0.37,0.27,0.43,0.41,0.39,0.16,0.27,0.39,0.45,0.29,0.48,0.18,0.29,0.45,0.25,0.16,0.3,0.45,0.18,0.57,0.55,0.16,0.18,0,0,0.46,0.19,0.53,0.3,0.45,0.25,0.27,0.11,0.51,0.61,0.61,0.5,0.46,0.52,0,0,0.51,0.4,0,0.44,0.43,0.59,0.66,0.52,0.09,0.55,0.18,0.31
"Environmental Engineers",0.59,0.57,0.66,0.52,0.61,0.59,0.59,0.61,0.45,0.61,0.59,0.34,0.34,0.43,0.55,0.57,0.45,0.46,0.48,0.39,0.46,0.61,0.55,0.57,0,0.41,0.11,0,0,0.16,0.21,0.41,0,0.25,0.34,0.39,0.45,0.61,0.55,0.57,0.61,0.64,0.55,0.57,0.43,0.48,0.41,0.54,0.57,0,0.48,0.68,0.63,0.66,0.66,0.45,0,0,0,0,0,0,0,0.14,0,0,0,0.05,0,0,0.16,0,0,0.07,0,0.59,0.23,0.54,0,0.21,0.43,0,0,0.21,0.36,0,0.54,0.64,0.22,0.22,0,0,0.62,0.34,0.58,0.44,0.31,0.44,0.36,0.19,0.56,0.83,0.56,0.73,0.56,0.51,0.1,0.12,0.52,0.55,0,0.34,0.51,0.68,0.71,0.66,0.23,0.6,0.25,0.31
"Environmental Restoration Planners",0.59,0.48,0.61,0.55,0.59,0.61,0.57,0.59,0.46,0.55,0.57,0.32,0.36,0.41,0.48,0.55,0.43,0.45,0.45,0.46,0.45,0.57,0.55,0.54,0,0.34,0.23,0.07,0,0.27,0.11,0.39,0,0.32,0.39,0.41,0.43,0.57,0.55,0.55,0.61,0.61,0.55,0.59,0.43,0.45,0.43,0.46,0.5,0.25,0.48,0.63,0.64,0.68,0.66,0.41,0,0.09,0.18,0.11,0,0.23,0.07,0.29,0.2,0.23,0.29,0.3,0.13,0.25,0.3,0.25,0.07,0.09,0.16,0.55,0.29,0.55,0.11,0.25,0.46,0.14,0.14,0.32,0.41,0.16,0.54,0.66,0.47,0.14,0.16,0,0.64,0.45,0.66,0.42,0.48,0.42,0.44,0.11,0.5,0.63,0.27,0.65,0.54,0.56,0,0,0.44,0.53,0,0.27,0.73,0.53,0.62,0.48,0.31,0.77,0.23,0.22
"Environmental Science Teachers, Postsecondary",0.61,0.46,0.71,0.64,0.64,0.68,0.61,0.61,0.61,0.57,0.55,0.21,0.29,0.41,0.5,0.46,0.63,0.41,0.43,0.45,0.52,0.55,0.45,0.45,0,0.2,0.05,0,0,0.05,0.07,0.13,0,0,0.41,0.36,0.39,0.48,0.5,0.5,0.59,0.59,0.46,0.54,0.3,0.37,0.3,0.36,0.45,0,0.25,0.71,0.73,0.7,0.71,0.41,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.09,0,0,0.09,0,0.7,0.23,0.46,0,0.11,0.43,0,0,0.11,0.23,0,0.54,0.76,0.42,0.2,0.32,0.16,0.54,0.35,0.53,0.51,0.56,0.32,0.47,0.25,0.19,0.57,0.43,0.46,0.71,0.84,0.33,0.23,0.46,0.42,0,0.27,0.75,0.72,0.72,0.55,0.4,0.77,0.39,0.23
"Environmental Science and Protection Technicians, Including Health",0.57,0.45,0.57,0.48,0.54,0.55,0.45,0.54,0.45,0.55,0.48,0.21,0.27,0.43,0.46,0.43,0.45,0.43,0.45,0.41,0.45,0.48,0.46,0.43,0,0.41,0.11,0.27,0.3,0.16,0.37,0.45,0.29,0.39,0.43,0.41,0.43,0.55,0.41,0.43,0.55,0.55,0.54,0.54,0.43,0.45,0.39,0.45,0.46,0.27,0.43,0.57,0.57,0.57,0.59,0.37,0,0.2,0.3,0.25,0.09,0.29,0.23,0.32,0.23,0.27,0.39,0.36,0.3,0.41,0.39,0.37,0.14,0.29,0.37,0.43,0.37,0.45,0.16,0.32,0.43,0.29,0.23,0.36,0.43,0.23,0.57,0.67,0.34,0.18,0.16,0,0.53,0.34,0.68,0.38,0.56,0.44,0.48,0.26,0.55,0.58,0.51,0.58,0.55,0.6,0.12,0.23,0.53,0.55,0.21,0.32,0.61,0.62,0.61,0.54,0.31,0.65,0.34,0.38
"Environmental Scientists and Specialists, Including Health",0.59,0.59,0.71,0.66,0.63,0.64,0.57,0.59,0.55,0.59,0.57,0.32,0.3,0.48,0.5,0.54,0.57,0.41,0.46,0.43,0.5,0.55,0.55,0.54,0,0.43,0.21,0,0,0.37,0.29,0.43,0,0.34,0.48,0.41,0.46,0.66,0.55,0.52,0.59,0.66,0.54,0.54,0.45,0.52,0.45,0.52,0.54,0.23,0.39,0.64,0.71,0.71,0.71,0.41,0,0,0.05,0,0,0.05,0,0.07,0,0.2,0.29,0.29,0.2,0.25,0.32,0.2,0.07,0,0.21,0.55,0.34,0.54,0.13,0.3,0.48,0.2,0.18,0.29,0.41,0.16,0.55,0.69,0.17,0,0.16,0,0.51,0.28,0.62,0.27,0.66,0.3,0.39,0.22,0.37,0.49,0.41,0.4,0.55,0.46,0.1,0.16,0.47,0.58,0,0.28,0.55,0.58,0.67,0.48,0.21,0.59,0.23,0.37
"Epidemiologists",0.64,0.57,0.71,0.75,0.61,0.63,0.66,0.68,0.52,0.59,0.63,0.21,0.27,0.48,0.52,0.54,0.54,0.46,0.5,0.48,0.55,0.61,0.57,0.55,0,0.13,0.09,0,0,0.11,0,0.2,0,0,0.52,0.37,0.43,0.68,0.59,0.55,0.66,0.7,0.63,0.55,0.43,0.54,0.48,0.52,0.59,0,0.45,0.66,0.71,0.73,0.73,0.43,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.23,0,0,0.07,0,0.55,0.18,0.55,0,0.14,0.48,0,0,0.07,0.34,0,0.57,0.74,0.19,0.14,0.3,0,0.6,0.24,0.6,0.44,0.58,0.26,0.46,0.08,0,0.14,0,0,0.62,0.58,0.2,0.51,0.37,0.48,0,0.11,0.53,0.29,0.74,0,0.62,0.67,0.54,0.1
"Equal Opportunity Representatives and Officers",0.66,0.39,0.68,0.11,0.61,0.63,0.57,0.64,0.48,0.55,0.52,0.05,0.05,0.29,0.43,0.46,0.48,0.52,0.57,0.48,0.59,0.54,0.46,0.5,0,0.18,0.13,0,0,0.21,0,0.18,0,0,0.27,0.41,0.39,0.59,0.54,0.5,0.63,0.57,0.5,0.54,0.39,0.46,0.45,0.45,0.43,0,0.32,0.64,0.68,0.7,0.63,0.41,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.25,0,0,0.11,0,0.54,0.36,0.57,0,0.23,0.41,0,0,0,0.23,0,0.61,0.67,0.33,0.17,0.42,0,0.53,0.22,0.71,0.65,0.57,0.25,0.41,0.13,0,0,0,0,0.48,0.59,0.42,0.11,0.28,0.66,0,0.16,0.13,0,0.5,0,0.62,0,0.5,0.15
"Etchers and Engravers",0.43,0.25,0.41,0,0.37,0.32,0.32,0.45,0.29,0.41,0.32,0.14,0.13,0.29,0.39,0.3,0.3,0.25,0.29,0.3,0.32,0.37,0.23,0.16,0,0.41,0.21,0.32,0.3,0.09,0.34,0.43,0.2,0.41,0.23,0.3,0.43,0.43,0.37,0.36,0.43,0.41,0.43,0.45,0.39,0.37,0.27,0.29,0.27,0.13,0.45,0.41,0.48,0.46,0.43,0.29,0,0.18,0.23,0.2,0.13,0.32,0.25,0.36,0.2,0.25,0.54,0.41,0.32,0.57,0.52,0.48,0,0.27,0.36,0.43,0.23,0.43,0.09,0.29,0.37,0.11,0.11,0.3,0.37,0.09,0.61,0.39,0,0,0,0.28,0.44,0,0.49,0.25,0.33,0.33,0.23,0,0,0.43,0.48,0.4,0.45,0.34,0,0,0,0.24,0,0.66,0,0.32,0.4,0,0,0,0,0.17
"Excavating and Loading Machine and Dragline Operators, Surface Mining",0.43,0.32,0.43,0,0.39,0.34,0.41,0.43,0.32,0.43,0.41,0.11,0.13,0.41,0.41,0.45,0.32,0.32,0.39,0.32,0.37,0.39,0.3,0.3,0.09,0.39,0.16,0.41,0.45,0,0.43,0.46,0.45,0.52,0.23,0.43,0.45,0.45,0.3,0.3,0.43,0.41,0.41,0.41,0.43,0.43,0.39,0.29,0.27,0.43,0.5,0.32,0.52,0.52,0.41,0.29,0,0.27,0.41,0.34,0,0.54,0.39,0.43,0.32,0.57,0.57,0.59,0.54,0.45,0.45,0.45,0.43,0.41,0.59,0.43,0.59,0.43,0.41,0.45,0.54,0.41,0.32,0.55,0.43,0.45,0.46,0.3,0,0.06,0,0,0.33,0.09,0.29,0.16,0.13,0.13,0.13,0.13,0.52,0.31,0.54,0.33,0.18,0.32,0.09,0,0.44,0.2,0,0.22,0.13,0.25,0.37,0.23,0,0.12,0.22,0.3
"Executive Secretaries and Executive Administrative Assistants",0.57,0.32,0.57,0.05,0.55,0.54,0.45,0.54,0.43,0.52,0.43,0.18,0.18,0.34,0.43,0.43,0.41,0.37,0.41,0.54,0.45,0.41,0.36,0.37,0,0.27,0.11,0,0,0.18,0,0.18,0,0,0.13,0.41,0.43,0.43,0.43,0.43,0.45,0.45,0.45,0.45,0.39,0.43,0.36,0.39,0.37,0,0.32,0.57,0.57,0.57,0.57,0.39,0,0,0,0,0,0.05,0,0.13,0,0,0.11,0.09,0,0.13,0.32,0.14,0,0.27,0,0.55,0.3,0.59,0,0.21,0.45,0,0,0,0.25,0,0.59,0.57,0,0.09,0.19,0,0.47,0.28,0.54,0.38,0.86,0,0.38,0.16,0,0,0.08,0,0.54,0.3,0.08,0,0.27,0.3,0,0.11,0.1,0,0.4,0,0.17,0,0.21,0.27
"Exercise Physiologists",0.57,0.43,0.64,0.43,0.59,0.57,0.55,0.57,0.54,0.57,0.5,0.14,0.16,0.43,0.45,0.52,0.54,0.43,0.52,0.57,0.55,0.55,0.45,0.45,0,0.29,0.25,0.18,0,0.16,0.18,0.34,0,0.25,0.3,0.37,0.41,0.59,0.5,0.54,0.57,0.64,0.52,0.52,0.41,0.43,0.39,0.41,0.41,0,0.39,0.59,0.68,0.66,0.66,0.34,0.09,0.27,0.39,0.27,0.14,0.32,0.3,0.43,0.37,0.11,0.29,0.37,0.18,0.37,0.29,0.29,0.18,0.18,0.14,0.57,0.3,0.55,0,0.3,0.41,0,0,0.2,0.29,0,0.46,0.55,0,0.1,0.18,0,0.45,0.23,0.72,0.3,0.53,0.46,0.35,0.18,0,0.14,0.25,0.18,0.45,0.63,0.61,0.55,0.33,0.25,0,0,0,0.32,0.53,0.34,0.41,0.55,0.59,0.1
"Exercise Trainers and Group Fitness Instructors",0.46,0.11,0.45,0.09,0.46,0.39,0.41,0.45,0.52,0.52,0.39,0,0.13,0.32,0.41,0.43,0.52,0.25,0.43,0.46,0.46,0.41,0.3,0.36,0,0.23,0.13,0.14,0.13,0,0.23,0.21,0,0.13,0.3,0.43,0.43,0.43,0.46,0.45,0.43,0.43,0.45,0.43,0.3,0.29,0.3,0.14,0.11,0.13,0.3,0.39,0.55,0.55,0.43,0.34,0.48,0.43,0.59,0.55,0.37,0.54,0.57,0.59,0.57,0.11,0.14,0.41,0.13,0.41,0.3,0.41,0.3,0.18,0.11,0.52,0.32,0.45,0,0.2,0.45,0,0,0.23,0.16,0.14,0.41,0.52,0,0.1,0,0.18,0.36,0.25,0.6,0.31,0.35,0.48,0.31,0.11,0,0,0.16,0.14,0.37,0.61,0.35,0.31,0.24,0.19,0,0.18,0,0.18,0.25,0.2,0.29,0.34,0.46,0.1
"Explosives Workers, Ordnance Handling Experts, and Blasters",0.48,0.41,0.52,0.2,0.45,0.41,0.45,0.5,0.41,0.52,0.46,0.14,0.27,0.46,0.46,0.5,0.48,0.37,0.37,0.34,0.39,0.46,0.37,0.39,0,0.36,0.16,0.34,0.32,0,0.41,0.46,0.32,0.45,0.27,0.43,0.5,0.55,0.43,0.43,0.54,0.54,0.48,0.57,0.52,0.48,0.38,0.34,0.32,0.27,0.48,0.39,0.5,0.55,0.46,0.29,0,0.36,0.46,0.34,0,0.41,0.32,0.43,0.36,0.41,0.54,0.5,0.39,0.5,0.5,0.59,0.36,0.27,0.57,0.41,0.43,0.41,0.27,0.43,0.5,0.34,0.21,0.45,0.54,0.21,0.59,0.43,0,0,0.1,0,0.51,0.3,0.55,0.4,0.5,0.45,0.2,0.14,0.42,0.55,0.57,0.44,0.37,0.48,0.12,0.15,0.67,0.57,0,0.52,0.25,0.42,0.58,0.36,0.13,0.12,0.29,0.48
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.37,0.36,0.41,0.16,0.36,0.29,0.32,0.39,0.3,0.46,0.37,0.11,0.18,0.27,0.36,0.43,0.32,0.21,0.27,0.25,0.34,0.39,0.32,0.32,0.23,0.48,0.13,0.36,0.37,0.07,0.39,0.52,0.41,0.5,0.2,0.34,0.45,0.41,0.29,0.29,0.43,0.37,0.41,0.43,0.43,0.41,0.27,0.29,0.27,0.21,0.45,0.29,0.39,0.45,0.41,0.29,0.07,0.29,0.43,0.34,0.2,0.45,0.37,0.45,0.37,0.43,0.5,0.46,0.45,0.43,0.46,0.43,0.3,0.34,0.5,0.37,0.46,0.36,0.2,0.3,0.43,0.21,0.21,0.41,0.43,0.25,0.45,0.41,0,0,0,0,0.41,0.13,0.27,0.17,0.22,0,0,0,0,0.27,0.29,0.23,0.37,0.28,0,0,0.28,0,0,0.6,0,0,0.42,0,0,0,0,0
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.43,0.27,0.39,0,0.41,0.37,0.37,0.43,0.3,0.45,0.39,0.11,0.14,0.3,0.41,0.43,0.34,0.3,0.3,0.3,0.37,0.41,0.25,0.29,0,0.39,0.09,0.32,0.36,0,0.39,0.55,0.37,0.46,0.21,0.41,0.5,0.45,0.3,0.3,0.45,0.43,0.43,0.45,0.45,0.43,0.27,0.3,0.29,0.21,0.43,0.43,0.43,0.5,0.43,0.29,0,0.27,0.41,0.29,0.14,0.43,0.32,0.43,0.27,0.41,0.45,0.45,0.43,0.45,0.45,0.46,0.25,0.36,0.5,0.41,0.46,0.39,0.23,0.39,0.37,0.18,0.14,0.37,0.36,0.18,0.46,0.4,0,0.16,0.16,0,0.33,0.18,0.34,0.22,0.26,0.17,0.15,0.2,0.12,0.28,0.51,0.23,0.26,0.39,0.14,0.13,0.34,0.17,0.11,0.5,0,0.24,0.44,0.18,0.17,0,0.25,0.21
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.39,0.29,0.39,0.11,0.34,0.34,0.3,0.39,0.29,0.45,0.39,0.09,0.13,0.25,0.32,0.32,0.34,0.21,0.25,0.25,0.3,0.32,0.3,0.23,0.21,0.45,0.13,0.3,0.37,0,0.41,0.54,0.37,0.52,0.14,0.36,0.48,0.41,0.29,0.29,0.41,0.41,0.43,0.45,0.54,0.39,0.27,0.29,0.25,0.18,0.52,0.3,0.41,0.45,0.41,0.27,0.14,0.2,0.45,0.34,0.11,0.46,0.34,0.45,0.36,0.41,0.45,0.46,0.45,0.46,0.46,0.45,0.27,0.34,0.54,0.39,0.46,0.39,0.13,0.41,0.46,0.21,0,0.43,0.39,0.07,0.46,0.36,0,0.18,0,0,0.4,0.16,0.27,0.2,0.21,0.16,0.23,0.18,0.24,0.4,0.46,0.3,0.44,0.38,0,0.17,0.35,0.15,0.33,0.53,0,0.36,0.39,0.29,0,0.21,0.19,0.19
"Fabric and Apparel Patternmakers",0.48,0.43,0.46,0,0.43,0.41,0.43,0.48,0.43,0.46,0.43,0.23,0.27,0.3,0.43,0.41,0.43,0.37,0.37,0.39,0.41,0.43,0.39,0.34,0,0.45,0.21,0.09,0,0.18,0.3,0.41,0,0.36,0.39,0.41,0.45,0.48,0.52,0.55,0.52,0.46,0.54,0.54,0.45,0.45,0.36,0.43,0.43,0,0.61,0.43,0.54,0.52,0.43,0.36,0,0.18,0.25,0.23,0,0.29,0.3,0.3,0.21,0.2,0.43,0.34,0.23,0.5,0.45,0.41,0,0.34,0.25,0.45,0.3,0.43,0,0.3,0.43,0,0,0.32,0.45,0,0.55,0.57,0,0.25,0,0.23,0.43,0,0.22,0.14,0.4,0.21,0.15,0.12,0,0.43,0.41,0.63,0.45,0.5,0,0,0.15,0.11,0,0.52,0,0.13,0.57,0.2,0.18,0,0.26,0.18
"Fallers",0.34,0.21,0.25,0.18,0.34,0.18,0.29,0.43,0.11,0.39,0.36,0.14,0.14,0.21,0.3,0.41,0.21,0.25,0.3,0.18,0.27,0.37,0,0.16,0,0.36,0,0.34,0.36,0,0.36,0.36,0.32,0.41,0,0.38,0.38,0.45,0.21,0.25,0.43,0.39,0.38,0.39,0.43,0.46,0.36,0.25,0.2,0.38,0.48,0.21,0.38,0.36,0.23,0.21,0.16,0.43,0.55,0.46,0,0.64,0.45,0.55,0.48,0.48,0.54,0.55,0.43,0.43,0.39,0.48,0.54,0.38,0.61,0.36,0,0.34,0.3,0.39,0.46,0.29,0.21,0.52,0.41,0.34,0.43,0,0,0,0,0,0.28,0,0.27,0,0,0,0,0,0,0.18,0.51,0,0,0.29,0,0,0.24,0,0,0.39,0,0,0.19,0,0,0,0,0
"Family Medicine Physicians",0.7,0.41,0.71,0.57,0.63,0.59,0.57,0.64,0.46,0.57,0.61,0.14,0.18,0.5,0.55,0.55,0.57,0.43,0.52,0.55,0.55,0.68,0.41,0.41,0,0.29,0,0,0,0,0.09,0.3,0,0,0.39,0.45,0.45,0.75,0.45,0.45,0.61,0.73,0.52,0.54,0.43,0.52,0.39,0.37,0.41,0,0.34,0.7,0.71,0.71,0.71,0.39,0,0,0,0,0,0,0,0.2,0,0,0.34,0,0,0.41,0.39,0.39,0,0,0,0.57,0.3,0.57,0,0.39,0.41,0,0,0.2,0.41,0,0.57,0.74,0.22,0.22,0.39,0,0.37,0.1,0.82,0.37,0.52,0.15,0.41,0.16,0,0,0,0,0.48,0.62,0.77,0.84,0.42,0.48,0,0,0.14,0.44,0.48,0.21,0.42,0.81,0.8,0
"Family and Consumer Sciences Teachers, Postsecondary",0.61,0.41,0.66,0.32,0.68,0.59,0.59,0.57,0.61,0.57,0.46,0.13,0.2,0.37,0.45,0.43,0.61,0.36,0.41,0.43,0.46,0.52,0.45,0.46,0,0.2,0.11,0,0,0.11,0.05,0.09,0,0,0.32,0.29,0.39,0.46,0.45,0.48,0.57,0.54,0.45,0.48,0.32,0.34,0.29,0.34,0.43,0,0.34,0.64,0.7,0.7,0.68,0.41,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.2,0,0,0.11,0,0.66,0.16,0.48,0,0.14,0.45,0,0,0.11,0.29,0,0.52,0.82,0.24,0.25,0.55,0.18,0.5,0.26,0.65,0.44,0.58,0.36,0.46,0.15,0,0.18,0,0.24,0.64,0.78,0.46,0.14,0.36,0.39,0.2,0.19,0.26,0.21,0.59,0,0.55,0.26,0.55,0.17
